rasterColumn,count,sum,mean,sum_area_weighted
dmsp_u_f101992,1820,78667,43.22363,73773.78
dmsp_u_f101993,1820,79426,43.64066,74485.57
dmsp_u_f101994,1820,78971,43.39066,74058.87
dmsp_u_f121994,1820,80301,44.12143,75306.14
dmsp_u_f121995,1820,81905,45.00275,76810.37
dmsp_u_f121996,1820,83042,45.62747,77876.65
dmsp_u_f121997,1820,81741,44.91264,76656.57
dmsp_u_f121998,1820,81421,44.73681,76356.48
dmsp_u_f121999,1820,79024,43.41978,74108.57
dmsp_u_f141997,1820,78177,42.9544,73314.26
dmsp_u_f141998,1820,76690,42.13736,71919.75
dmsp_u_f141999,1820,76949,42.27967,72162.64
dmsp_u_f142000,1820,77734,42.71099,72898.81
dmsp_u_f142001,1820,77819,42.75769,72978.53
dmsp_u_f142002,1820,79306,43.57473,74373.03
dmsp_u_f142003,1820,76147,41.83901,71410.53
dmsp_u_f152000,1820,81994,45.05165,76893.84
dmsp_u_f152001,1820,79541,43.70385,74593.42
dmsp_u_f152002,1820,81536,44.8,76464.32
dmsp_u_f152003,1820,77084,42.35385,72289.25
dmsp_u_f152004,1820,75621,41.55,70917.25
dmsp_u_f152005,1820,77831,42.76429,72989.78
dmsp_u_f152006,1820,77571,42.62143,72745.95
dmsp_u_f152007,1820,74712,41.05055,70064.79
dmsp_u_f162004,1820,79164,43.4967,74239.87
dmsp_u_f162005,1820,76634,42.10659,71867.24
dmsp_u_f162006,1820,78761,43.27527,73861.93
dmsp_u_f162007,1820,78962,43.38571,74050.43
dmsp_u_f162008,1820,78303,43.02363,73432.42
dmsp_u_f162009,1820,79822,43.85824,74856.94
dmsp_u_f182010,1820,83255,45.74451,78076.4
dmsp_u_f182011,1820,81331,44.68736,76272.08
dmsp_u_f182012,1820,79444,43.65055,74502.45
dmsp_u_f182013,1820,80931,44.46758,75896.96
