cve_ent,alcaldia,cve_col,colonia,BA1_NoEqSa,BA1_C_NoEq,BA8_NoMerc,BA8_NoLoca,BA8_Ci_NoM,BA8_Ci_Loc,BA8_S_Merc,BA8_C_Merc,BA9_No_Gua,BA9_C_No_G,BA3_NoEqEd,BA3_DisEqB,BA3_Ci_EqE,BA3_Ci_Dis,BA3_S_EqEd,BA3_C_EqEd,P_PorcElec,r_ValElect,P_AguaPot,r_Val_Dren,EPr_POB,r_EPr_POB,resid_ton,r_resd_ton,AlumP_sum,ALUMP_mean,r_AlumP_Su,r_AlumP_Mn,S_RI_6,C_RI_6,ID
9,AZCAPOTZALCO,02-001,AGUILERA,0,5,0,0,5,5,10,5,0,5,1,282.167,4,2,6,3,98.95288,4,98.95288,3,0,5,2.618,2,10,1,1,1,34,3,1
9,AZCAPOTZALCO,02-002,ALDANA,0,5,0,0,5,5,10,5,0,5,2,224.227,4,1,5,3,99.15344,3,98.83598,3,0,5,4.391,3,28,1.272727273,2,1,35,3,2
9,AZCAPOTZALCO,02-005,ANGEL ZIMBRON,0,5,0,0,5,5,10,5,0,5,3,314.167,3,3,6,3,99.30394,3,99.18794,2,0.00006,4,3.558,3,12,1,1,1,31,2,3
9,AZCAPOTZALCO,02-006,ARENAL,0,5,1,198,4,2,6,2,1,4,4,267.369,3,2,5,3,98.96755,4,99.0413,3,0.00004,4,6.262,4,37,1,2,1,33,2,4
9,AZCAPOTZALCO,02-007,CENTRO DE AZCAPOTZALCO,2,3,1,546,4,1,5,2,1,4,7,268.656,1,2,3,1,94.64883,5,94.53735,5,0.00057,2,3.956,3,47,1.46875,3,2,30,1,5
9,AZCAPOTZALCO,02-008,CLAVERIA,0,5,1,98,4,4,8,4,0,5,7,353.242,1,3,4,2,99.19732,3,98.92977,3,0.00017,3,12.44,5,126,1.384615385,5,2,34,3,6
9,AZCAPOTZALCO,02-009,COLTONGO,0,5,0,0,5,5,10,5,0,5,4,294.508,3,2,5,3,99.02439,3,93.85366,5,0,5,5.425,3,27,1.285714286,2,1,36,4,7
9,AZCAPOTZALCO,02-011,COSMOPOLITA (AMPL),0,5,0,0,5,5,10,5,0,5,3,147.373,3,1,4,2,89.09774,5,89.09774,5,0,5,1.29,1,17,1,1,1,35,3,8
9,AZCAPOTZALCO,02-013,CUITLÁHUAC 1 Y 2 (U HAB),0,5,0,0,5,5,10,5,0,5,3,336.356,3,3,6,3,97.94344,4,97.30077,4,0,5,3.184,2,92,2.044444444,4,4,37,4,9
9,AZCAPOTZALCO,02-014,CUITLÁHUAC 3 Y 4 (U HAB),0,5,0,0,5,5,10,5,0,5,3,341.971,3,3,6,3,99.38942,3,99.11805,2,0,5,5.682,3,165,2.012195122,5,3,36,4,10
9,AZCAPOTZALCO,02-015,DEL GAS,1,4,0,0,5,5,10,5,0,5,3,222.606,3,1,4,2,98.83805,4,97.16776,4,0.00073,1,6.314,4,76,1.52,4,2,34,3,11
9,AZCAPOTZALCO,02-016,DEL GAS (AMPL),0,5,0,0,5,5,10,5,0,5,2,201.333,4,1,5,3,98.11828,4,97.04301,4,0.00012,3,1.63,2,33,2.0625,2,4,34,3,12
9,AZCAPOTZALCO,02-017,DEL MAESTRO,2,3,0,0,5,5,10,5,1,4,1,214.667,4,1,5,3,99.0099,3,98.51485,3,0,5,0.9334,1,6,1,1,1,29,1,13
9,AZCAPOTZALCO,02-018,DEL RECREO,0,5,0,0,5,5,10,5,0,5,6,258.021,2,2,4,2,99.04377,3,98.56565,3,0.00003,4,12.04,5,67,1.395833333,4,2,36,4,14
9,AZCAPOTZALCO,02-020,ECOLOGICA NOVEDADES IMPACTO (U HAB),0,5,0,0,5,5,10,5,0,5,0,176.222,5,1,6,3,100,1,99.0566,3,0,5,0.4771,1,27,2.076923077,2,4,32,2,15
9,AZCAPOTZALCO,02-021,EL JAGUEY-ESTACION PANTACO,0,5,1,41,4,4,8,4,0,5,3,572.395,3,5,8,4,97.05882,4,93.46405,5,0.00951,1,1.837,2,89,3.296296296,4,5,33,2,16
9,AZCAPOTZALCO,02-023,EL ROSARIO A (U HAB),1,4,0,0,5,5,10,5,0,5,5,247.279,2,1,3,1,98.67925,4,98.67925,3,0.00006,4,8.55,4,70,1.590909091,4,2,35,3,17
9,AZCAPOTZALCO,02-024,EL ROSARIO B (U HAB),2,3,0,0,5,5,10,5,0,5,5,208.647,2,1,3,1,98.38883,4,98.20981,4,0.00019,3,13.99,5,176,1.934065934,5,3,36,4,18
9,AZCAPOTZALCO,02-025,EL ROSARIO C (U HAB),1,4,0,0,5,5,10,5,1,4,10,221.784,1,1,2,1,98.32957,4,96.02709,4,0.00029,2,11.72,4,206,1.775862069,5,3,33,2,19
9,AZCAPOTZALCO,02-026,EUZKADI,1,4,0,0,5,5,10,5,0,5,3,173.794,3,1,4,2,98.58921,4,98.58921,3,0,5,5.756,3,27,1.285714286,2,1,34,3,20
9,AZCAPOTZALCO,02-027,EX-HACIENDA EL ROSARIO,0,5,0,0,5,5,10,5,0,5,1,456.57,4,4,8,4,98.07356,4,97.02277,4,0.01453,1,2.972,2,37,1.193548387,2,1,32,2,21
9,AZCAPOTZALCO,02-028,FERRERIA,0,5,0,0,5,5,10,5,0,5,2,535.071,4,5,9,5,98.04401,4,97.06601,4,0,5,2.131,2,58,2.071428571,3,4,37,4,22
9,AZCAPOTZALCO,02-029,FERRERIA (U HAB),0,5,0,0,5,5,10,5,0,5,0,539.069,5,5,10,5,98.9071,4,97.9235,4,0.00001,4,4.169,3,57,2.111111111,3,4,38,5,23
9,AZCAPOTZALCO,02-030,FRANCISCO VILLA (U HAB),1,4,0,0,5,5,10,5,0,5,5,190.12,2,1,3,1,98.95725,4,98.01877,4,0,5,4.776,3,81,1.62,4,2,36,4,24
9,AZCAPOTZALCO,02-032,HOGAR Y SEGURIDAD/NUEVA SANTA MARIA,0,5,0,0,5,5,10,5,0,5,1,418.368,4,4,8,4,99.82285,1,99.29141,1,0.00009,3,4.861,3,67,1.675,4,2,31,2,25
9,AZCAPOTZALCO,02-033,HOGARES FERROCARRILEROS (U HAB),0,5,0,0,5,5,10,5,0,5,0,198.741,5,1,6,3,98.15242,4,97.92148,4,0,5,1.968,2,21,2.1,2,4,37,4,26
9,AZCAPOTZALCO,02-035,IGNACIO ALLENDE,0,5,1,177,4,2,6,2,1,4,2,280,4,2,6,3,100,1,97.49431,4,0.00114,1,2.081,2,13,1.3,1,1,26,1,27
9,AZCAPOTZALCO,02-036,INDUSTRIAL VALLEJO,0,5,0,0,5,5,10,5,0,5,4,631.327,3,5,8,4,83.16151,5,70.44674,5,0,5,0.5564,1,104,1.962264151,5,3,39,5,28
9,AZCAPOTZALCO,02-037,ISSFAM LAS ARMAS (U HAB),0,5,0,0,5,5,10,5,0,5,0,284.878,5,2,7,4,97.7887,4,97.0516,4,0,5,2.006,2,87,2.023255814,4,3,39,5,29
9,AZCAPOTZALCO,02-038,JARDIN AZPEITIA,0,5,0,0,5,5,10,5,0,5,1,266.767,4,2,6,3,99.49749,2,99.49749,1,0.00007,4,3.494,3,15,1.5,1,2,30,1,30
9,AZCAPOTZALCO,02-040,LA PRECIOSA,0,5,0,0,5,5,10,5,0,5,2,209.143,4,1,5,3,99.50298,2,99.50298,1,0,5,4.875,3,29,1.380952381,2,2,32,2,31
9,AZCAPOTZALCO,02-041,LA RAZA,2,3,0,0,5,5,10,5,1,4,2,263.2,4,2,6,3,97.65739,4,97.36457,4,0,5,3.234,3,33,1.1,2,1,34,3,32
9,AZCAPOTZALCO,02-043,LIBERACION,0,5,0,0,5,5,10,5,0,5,2,274.29,4,2,6,3,99.28977,3,98.86364,3,0,5,3.185,2,26,1.130434783,2,1,34,3,33
9,AZCAPOTZALCO,02-044,LIBERTAD,0,5,0,0,5,5,10,5,0,5,0,276.167,5,2,7,4,100,1,98.93048,3,0.00062,2,1.512,1,22,2.2,2,4,29,1,34
9,AZCAPOTZALCO,02-045,LOS REYES (BARR),1,4,0,0,5,5,10,5,0,5,2,238.889,4,1,5,3,99.90512,1,99.62049,1,0,5,4.468,3,28,1.473684211,2,2,30,1,35
9,AZCAPOTZALCO,02-046,MANUEL RIVERA ANAYA CROC I (U HAB),0,5,0,0,5,5,10,5,0,5,1,313.195,4,3,7,4,98.96373,4,98.70466,3,0,5,3.767,3,66,2.129032258,4,4,38,5,36
